Date,Open,High,Low,Close,Adj Close,Volume
2020-12-08,300.010010,302.869995,299.980011,302.200012,295.154663,2205400
2020-12-09,303.220001,303.600006,299.970001,300.880005,293.865448,3074500
2020-12-10,299.989990,301.149994,299.200012,300.540009,293.533417,2413000
2020-12-11,299.429993,301.179993,298.679993,300.929993,293.914276,2454300
2020-12-14,303.019989,303.799988,299.000000,299.100006,292.126953,3646100
2020-12-15,300.950012,302.940002,299.480011,302.619995,295.564880,4211500
2020-12-16,302.540009,302.869995,301.320007,302.149994,295.105896,1977300
2020-12-17,303.220001,303.709991,302.850006,303.489990,296.414581,3002900
2020-12-18,303.070007,303.140015,300.230011,301.899994,295.434052,4442100
2020-12-21,298.790009,302.970001,297.420013,302.140015,295.668945,6340800
2020-12-22,301.839996,301.880005,299.859985,300.070007,293.643250,2698200
2020-12-23,301.200012,302.790009,301.140015,301.279999,294.827393,2714400
2020-12-24,301.660004,302.100006,300.929993,302.019989,295.551514,1955700
2020-12-28,303.690002,305.149994,303.350006,304.000000,297.489075,2382400
2020-12-29,305.429993,305.700012,302.640015,303.459991,296.960663,2319600
2020-12-30,304.109985,305.130005,303.859985,304.130005,297.616302,2081300
2020-12-31,304.000000,306.290009,303.350006,305.790009,299.240662,2797000
2021-01-04,306.589996,306.660004,298.739990,302.320007,295.845062,5106600
2021-01-05,301.929993,305.049988,301.380005,303.839996,297.332458,3355200
2021-01-06,303.750000,310.239990,303.059998,308.209991,301.608948,7290300
2021-01-07,309.720001,311.980011,309.059998,310.500000,303.849884,4107900
2021-01-08,311.250000,311.429993,307.989990,311.040009,304.378296,3234900
2021-01-11,308.489990,311.000000,308.420013,310.170013,303.526978,2811400
2021-01-12,310.179993,311.250000,308.910004,310.739990,304.084717,2290900
2021-01-13,310.630005,311.600006,309.920013,310.630005,303.977112,1854400
2021-01-14,311.589996,312.269989,309.890015,310.049988,303.409515,3232400
2021-01-15,308.010010,309.320007,306.029999,308.119995,301.645355,4009100
2021-01-19,310.359985,310.739990,308.600006,309.320007,302.820251,2781700
2021-01-20,310.429993,312.339996,309.940002,311.769989,305.218689,2398400
2021-01-21,312.010010,312.709991,311.200012,311.869995,305.316620,1930000
2021-01-22,309.859985,311.019989,309.089996,309.970001,303.456543,2049700
2021-01-25,308.989990,309.779999,305.619995,309.649994,303.143188,4546400
2021-01-26,310.540009,311.190002,309.209991,309.390015,302.888672,2256100
2021-01-27,306.540009,306.720001,302.100006,303.260010,296.887543,5743100
2021-01-28,304.980011,309.420013,304.829987,306.070007,299.638489,6392100
2021-01-29,303.920013,304.779999,298.589996,299.809998,293.510040,5929900
2021-02-01,302.279999,303.350006,300.140015,302.019989,295.673615,3138600
2021-02-02,304.540009,308.429993,304.519989,306.820007,300.372711,3090500
2021-02-03,306.100006,307.940002,305.179993,307.260010,300.803467,2087800
2021-02-04,307.850006,310.670013,307.769989,310.670013,304.141876,2638800
2021-02-05,312.359985,312.549988,310.869995,311.540009,304.993500,1955600
2021-02-08,312.700012,313.890015,312.410004,313.890015,307.294159,1690000
2021-02-09,313.260010,314.500000,312.570007,313.920013,307.323456,1798700
2021-02-10,315.170013,315.239990,312.299988,314.500000,307.891327,3048000
2021-02-11,315.089996,315.760010,312.799988,314.679993,308.067505,1937100
2021-02-12,314.279999,315.140015,313.829987,315.040009,308.420013,2479500
2021-02-16,316.329987,316.540009,314.869995,315.579987,308.948669,1836300
