Date,Open,High,Low,Close,Adj Close,Volume
10/16/20,2.87,3.29,2.8,3.04,3.04,18565800
10/19/20,3.31,3.88,3.23,3.54,3.54,40385100
10/20/20,3.3,3.31,3.05,3.09,3.09,15978800
10/21/20,3.1,3.13,2.98,3,3,7277300
10/22/20,2.96,3.15,2.84,3.12,3.12,12339600
10/23/20,3.13,3.15,2.95,2.97,2.97,6635000
10/26/20,2.92,2.93,2.68,2.75,2.75,10458800
10/27/20,2.88,2.9,2.61,2.79,2.79,11251300
10/28/20,2.69,2.74,2.58,2.61,2.61,8141100
10/29/20,2.65,2.68,2.48,2.52,2.52,9019300
10/30/20,2.48,2.49,2.28,2.36,2.36,10968800
11/2/20,2.3,2.32,2.11,2.15,2.15,11180100
11/3/20,2.34,2.59,2.3,2.34,2.34,15441900
11/4/20,2.4,2.43,2.24,2.31,2.31,7609100
11/5/20,2.35,2.57,2.27,2.46,2.46,8056200
11/6/20,2.43,2.62,2.33,2.49,2.49,9049500
11/9/20,4.27,4.39,3.23,3.77,3.77,132511000
11/10/20,3.99,4.03,3.34,3.51,3.51,42129300
11/11/20,3.23,3.24,3,3.13,3.13,24066100
11/12/20,3.07,3.07,2.92,2.94,2.94,14729000
11/13/20,2.98,2.99,2.78,2.97,2.97,21995400
11/16/20,3.39,3.39,3.05,3.11,3.11,47604300
11/17/20,3.01,3.04,2.9,2.98,2.98,22483000
11/18/20,3.08,3.37,3.01,3.26,3.26,31717300
11/19/20,3.16,3.38,3.15,3.19,3.19,13986400
11/20/20,3.25,3.37,3.21,3.35,3.35,17088800
11/23/20,3.51,3.85,3.41,3.81,3.81,31514600
11/24/20,4.16,5,4.15,4.58,4.58,62884600
11/25/20,4.57,4.85,4.2,4.49,4.49,22647300
11/27/20,4.54,4.62,4.36,4.45,4.45,10097400
11/30/20,4.41,4.45,3.99,4.27,4.27,16555000
12/1/20,4.43,4.43,4.09,4.15,4.15,12130100
12/2/20,4.08,4.34,3.95,4.32,4.32,11847600
12/3/20,4.01,4.22,3.5,3.63,3.63,66080900
12/4/20,3.75,3.76,3.3,3.51,3.51,33157300
12/7/20,3.45,3.74,3.33,3.56,3.56,20503900
12/8/20,3.61,4.02,3.61,3.98,3.98,29530600
12/9/20,4.22,4.33,3.75,3.86,3.86,20991200
12/10/20,3.79,4.1,3.77,4.09,4.09,19872800
12/11/20,4.04,4.25,3.87,3.92,3.92,22310400
12/14/20,4.01,4.01,3,3.19,3.19,67159000
12/15/20,3.24,3.24,2.76,2.86,2.86,54432100
12/16/20,2.87,2.89,2.72,2.78,2.78,25423200
12/17/20,2.8,2.95,2.74,2.85,2.85,23799300
12/18/20,2.85,2.85,2.76,2.8,2.8,21941700
12/21/20,2.61,2.74,2.58,2.68,2.68,22699800
12/22/20,2.73,2.75,2.52,2.59,2.59,21638400
12/23/20,2.58,2.65,2.54,2.56,2.56,15724800
12/24/20,2.59,2.6,2.48,2.51,2.51,11094200
12/28/20,2.63,2.63,2.36,2.39,2.39,23942700
12/29/20,2.44,2.46,2.28,2.29,2.29,21086100
12/30/20,2.3,2.3,2.13,2.16,2.16,40278400
12/31/20,2.17,2.22,2.08,2.12,2.12,28234300
1/4/21,2.2,2.2,2,2.01,2.01,29873800
1/5/21,1.99,2.03,1.91,1.98,1.98,28148300
1/6/21,2.03,2.23,1.97,2.01,2.01,67363300
1/7/21,2.08,2.11,2.02,2.05,2.05,26150500
1/8/21,2.09,2.21,2.07,2.14,2.14,39553300
1/11/21,2.16,2.27,2.15,2.2,2.2,41695800
1/12/21,2.24,2.39,2.24,2.29,2.29,41549200
1/13/21,2.33,2.38,2.13,2.18,2.18,45847700
1/14/21,2.22,2.32,2.13,2.18,2.18,49638800
1/15/21,2.2,2.55,2.18,2.33,2.33,162356400
1/19/21,2.8,3.2,2.57,3.06,3.06,256276000
1/20/21,3.29,3.34,2.75,2.97,2.97,181862200
1/21/21,3,3.06,2.85,2.98,2.98,64823800
1/22/21,2.91,3.74,2.81,3.51,3.51,268273400
1/25/21,4.71,4.88,3.85,4.42,4.42,443238100
1/26/21,5.09,5.19,4.37,4.96,4.96,456850200
1/27/21,20.34,20.360001,11.01,19.9,19.9,1222342500
1/28/21,11.98,16.5,6.51,8.63,8.63,591223900
1/29/21,14.31,16,11.6,13.26,13.26,602193300
2/1/21,17,17.25,12.91,13.3,13.3,434608000
2/2/21,9.48,10.1,6,7.82,7.82,462775900
2/3/21,8.85,9.77,7.89,8.97,8.97,221405100
2/4/21,8.7,8.74,7,7.09,7.09,162985800
2/5/21,7.17,8.27,6.52,6.83,6.83,197097600
2/8/21,6.88,6.89,5.75,6.18,6.18,128171500
2/9/21,5.81,5.81,5.26,5.5,5.5,102588100
2/10/21,5.71,6.59,5.45,5.8,5.8,152810800
2/11/21,5.62,5.85,5.47,5.61,5.61,55920400
2/12/21,5.72,5.97,5.52,5.59,5.59,46773000
2/16/21,6.03,6.05,5.49,5.65,5.65,61165700
2/17/21,5.58,5.62,5.32,5.55,5.55,38849000
2/18/21,5.84,6.25,5.46,5.51,5.51,130540800
2/19/21,5.54,5.77,5.51,5.7,5.7,40249100
2/22/21,5.93,6.68,5.75,6.55,6.55,173409000
2/23/21,6.97,7.86,6.01,7.7,7.7,264876400
2/24/21,7.23,9.83,6.99,9.09,9.09,376881800
2/25/21,10.89,11,7.85,8.29,8.29,445717400
2/26/21,8.19,9.01,7.63,8.01,8.01,137028000
3/1/21,8.86,9.45,8.42,9.18,9.18,143586500
3/2/21,9.14,9.4,8.51,8.93,8.93,78135400
3/3/21,8.95,9.14,8.5,8.58,8.58,55651900
3/4/21,8.25,8.59,7.5,8.03,8.03,77822600
